instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
264969,1035,INDIA VIX,INDIA VIX,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260617,1018,NIFTY 100,NIFTY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
264457,1033,NIFTY 200,NIFTY 200,0.0,,0.0,0.0,0,EQ,INDICES,NSE
256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268041,1047,NIFTY 500,NIFTY 500,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263433,1029,NIFTY AUTO,NIFTY AUTO,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268297,1048,NIFTY CPSE,NIFTY CPSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261641,1022,NIFTY ENERGY,NIFTY ENERGY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261897,1023,NIFTY FMCG,NIFTY FMCG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261385,1021,NIFTY INFRA,NIFTY INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259849,1015,NIFTY IT,NIFTY IT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263945,1031,NIFTY MEDIA,NIFTY MEDIA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263689,1030,NIFTY METAL,NIFTY METAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),0.0,,0.0,0.0,0,EQ,INDICES,NSE
256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262153,1024,NIFTY MNC,NIFTY MNC,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262409,1025,NIFTY PHARMA,NIFTY PHARMA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262665,1026,NIFTY PSE,NIFTY PSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261129,1020,NIFTY REALTY,NIFTY REALTY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0.0,,0.0,0.0,0,EQ,INDICES,NSE
1749249,6833,1018GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2134785,8339,182D010922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2510337,9806,182D011222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2387713,9327,182D031122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2052609,8018,182D040822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2268673,8862,182D061022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1976065,7719,182D070722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2144513,8377,182D080922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2420481,9455,182D101122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2084609,8143,182D110822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2298625,8979,182D121022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2003201,7825,182D140722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2177281,8505,182D150922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1833729,7163,182D160622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2440705,9534,182D171122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2099969,8203,182D180822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2321665,9069,182D201022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2009601,7850,182D210722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2199809,8593,182D220922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1874177,7321,182D230622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2490113,9727,182D241122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2115585,8264,182D250822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2331649,9108,182D271022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2027521,7920,182D280722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2233601,8725,182D290922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1933825,7554,182D300622-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2511105,9809,364D010623-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1420289,5548,364D010922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1792257,7001,364D011222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2052865,8019,364D020223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2135041,8340,364D020323-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1658113,6477,364D021122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2388481,9330,364D040523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1341953,5242,364D040822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1976321,7720,364D050123-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2269185,8864,364D060423-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1537025,6004,364D061022-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1282817,5011,364D070722-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1426945,5574,364D080922-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1810433,7072,364D081222-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2085121,8145,364D090223-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2147329,8388,364D090323-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1683969,6578,364D101122-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
2420993,9457,364D110523-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
1369857,5351,364D110822-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
